lat,long
42.64064133,-71.33750615
42.64064002,-71.3375051
42.64063848,-71.33750448
42.64063833,-71.3375043
42.64063625,-71.33750906
42.64063508,-71.33751119
42.64063512,-71.3375113
42.64063591,-71.33751373
42.64063742,-71.33751478
42.64063955,-71.33751671
42.64064044,-71.3375179
42.64064049,-71.33751802
42.64064172,-71.33751596
42.64064231,-71.33751118
42.64064148,-71.3375058
42.64064045,-71.33749878
42.64064068,-71.3374933
42.64064153,-71.33748913
42.64064256,-71.33748449
42.64064464,-71.337481
42.64064407,-71.33747711
42.64064208,-71.33747231
42.64064187,-71.33747016
42.64064141,-71.33746885
42.64064132,-71.33746878
42.64063775,-71.33746298
42.64063758,-71.33745802
42.64064071,-71.33745485
42.64064343,-71.33745034
42.64064281,-71.33744642
42.64064071,-71.33744299
42.6406387,-71.33744037
42.64063932,-71.33743962
42.64064026,-71.33743717
42.64063939,-71.33743638
42.6406384,-71.33743628
42.6406356,-71.33743602
42.64063408,-71.33743696
42.64063321,-71.33743715
42.6406329,-71.33743712
42.64063278,-71.33743713
42.64063272,-71.33743713
42.64063271,-71.33743714
42.64063272,-71.33743714
42.64063275,-71.33743715
42.64063281,-71.33743719
42.64063288,-71.33743722
42.64063293,-71.33743723
42.64063299,-71.33743724
42.64063305,-71.33743725
